Clinique_Article,BaseCahpp_Article,cip_match,ucd_match,idt_match,Clinique_IDT,Clinique_CIP,Clinique_UCD,CAHPP_IDT,CAHPP_CIP,CAHPP_CIP13,CAHPP_UCD,CAHPP_UCD13
9431moclamine 150 mg cpr séc,MOCLAMINE  150 MG BOITE DE   30 COMPRIMES,1,1,1,88809,3400933324933,3400891666533,88809,3332493,3400933324933,9166653,3400891666533
1670artisial sol pr pulv buccale flac 100 ml,ARTISIAL 100 ML SOLUTION PULVERISATION ENDO BUCCALE BOITE DE 1 FLACON,1,1,1,208288,3400932454006,3400890068895,208288,3245400,3400932454006,9006889,3400890068895
12718clairyg 5 g100 ml sol pr perf flac,CLAIRYG   5G / 100ML BOITE DE 1 FLACON,1,1,1,225122,3400957618964,3400893475676,225122,5761896,3400957618964,9347567,3400893475676
12321clairyg 10 g200 ml sol pr perf flac,CLAIRYG  10G / 200ML BOITE DE 1 FLACON,1,1,1,225123,3400957619046,3400893475966,225123,5761904,3400957619046,9347596,3400893475966
128albunorm 20 g100 ml sol pr perf flac,ALBUNORM 20 % SOLUTION POUR PERFUSION DE 100 ML BOITE DE 1 FLACON,1,1,1,85046,3400957508753,3400893381953,85046,5750875,3400957508753,9338195,3400893381953
0000129albunorm 125 g250 ml sol pr perf flac,ALBUNORM  5 % SOLUTION POUR PERFUSION DE 250 ML BOITE DE 1 FLACON,1,1,1,85249,3400957508173,3400893382264,85249,5750817,3400957508173,9338226,3400893382264
4720octaplex 500 iu20 ml pdr et solv pr sol pr perf flac  flac  set,OCTAPLEX 25 UI/ML 500UI 20ML - BOITE DE 1 FLACON,1,1,1,129110,3400956610600,3400892717982,129110,5661060,3400956610600,9271798,3400892717982
4837spiriva 18 ug pdr pr inhal en gélule,SPIRIVA 18 µG   BOITE DE 10 GELULES + INHALATEUR,1,1,1,134005,3400957076269,3400892780276,134005,5707626,3400957076269,9278027,3400892780276
3829pradaxa 110 mg gélule,PRADAXA 110MG BOITE DE 60 GELULES CONDITIONNEMENT UNITAIRE,0,1,1,173042,3400938526080,3400893208298,173042,3852620,3400938526202,9320829,3400893208298
10043bronchodual 50 ug20 ugdose sol pr inhal flac 200 doses,BRONCHODUAL 50µG/20µG/DOSE SOLUTION POUR INHALATION 200 DOSES BOITE DE  1 FLACON,1,1,1,254528,3400936086999,3400893743928,254528,3608699,3400936086999,9374392,3400893743928
10112pradaxa 150 mg gélule,PRADAXA 150MG BOITE DE 60 GELULES CONDITIONNEMENT UNITAIRE,1,1,1,259818,3400941945380,3400893744468,259818,4194538,3400941945380,9374446,3400893744468
7746calcidose vit d3 500 mg400 iu pdr pr sol buv sachet,CALCIDOSE VITAMINE D3 500 MG/400 UI BOITE DE 60 STICKS,1,1,1,84296,3400933830885,3400891766400,84296,3383088,3400933830885,9176640,3400891766400
5427calcidose 500 pdr pr susp buv sachet,CALCIDOSE 500 MG BOITE DE 60 STICKS,1,1,1,129286,3400933922368,3400891815177,129286,3392236,3400933922368,9181517,3400891815177
14976mikicort 3 mg gélule gastrorésistante,MIKICORT 3 MG BOITE DE 50 GELULES,1,1,1,255029,3400935692610,3400892939377,255029,3569261,3400935692610,9293937,3400892939377
9831beclospin 400 ug1 ml susp pr inhal par nébu récipient unidose,BECLOSPIN  400 MCG / 1 ML SUSPENSION POUR INHALATION PAR NEBULISEUR EN RECIPIENT UNIDOSE BOITE DE 20 UNIDOSES,1,1,1,142604,3400936963443,3400892934006,142604,3696344,3400936963443,9293400,3400892934006
4973beclospin 800 ug2 ml susp pr inhal par nébu récipient unidose,BECLOSPIN  800 MCG / 2 ML  SUSPENSION POUR INHALATION PAR NEBULISEUR EN RECIPIENT UNIDOSE BOITE DE 20 UNIDOSES,1,1,1,142611,3400936963504,3400892934174,142611,3696350,3400936963504,9293417,3400892934174
5331curosurf 240 mg3 ml susp pr instil endotrachéo flac,CUROSURF 240 MG  3 ML BOITE DE 1 FLACON,1,1,1,142628,3400955775379,3400891570397,142628,5577537,3400955775379,9157039,3400891570397
6148innovair 100 ug6 ugdose sol pr inhal flac 120 doses,INNOVAIR 100 MCG / 6 MCG SOLUTION POUR INHALATION EN FLACON PRESSURISE DE 120 DOSES BOITE DE 1 FLACON,1,1,1,177695,3400938141283,3400893045176,177695,3814128,3400938141283,9304517,3400893045176
14056innovair nexthaler 100 ug6 ugdose pdr pr inhal inhal 120 doses,INNOVAIR NEXTHALER 100 MCG / 6 MCG / DOSE POUDRE POUR INHALATION 120 DOSES BOITE DE 1 FLACON,1,1,1,351272,3400926636210,3400893994009,351272,2663621,3400926636210,9399400,3400893994009
17661innovair 200 ug6 ugdose sol pr inhal flac 120 doses,INNOVAIR 200MCG / 6 MCG SOLUTION POUR INHALATION EN FLACON PRESSURISE DE 120 DOSES BOITE DE 1 FLACON,1,1,1,381127,3400930040034,3400894191377,381127,3004003,3400930040034,9419137,3400894191377
18065innovair nexthaler 200 ug6 ugdose pdr pr inhal inhal 120 doses,INNOVAIR NEXTHALER 200 MCG / 6 MCG / DOSE POUDRE POUR INHALATION 120 DOSES BOITE DE 1 FLACON,1,1,1,381128,3400930039946,3400894191438,381128,3003994,3400930039946,9419143,3400894191438
21633trimbow 87 ug5 ug9 ugdose sol pr inhal flac 60 doses,TRIMBOW 87 MCG / 5 MCG / 9 MCG / DOSE SOLUTION POUR INHALATION 60 DOSES BOITE DE 1 FLACON,0,1,1,489520,3400830109244,3400894363774,489520,3010924,3400930109243,9436377,3400894363774
194diclofenac 50 mg eg cpr gastrorésistant,DICLOFENAC ARROW  50 MG BOITE DE 30 COMPRIMES  GASTRO RESISTANTS,1,1,1,81589,3400934362415,3400891976717,81589,3574115,3400935741158,9235555,3400892355559
8529amoxicilline 125 mg5 ml arrow pdr pr susp buv flac 60 ml,AMOXICILLINE ARROW  125 MG / 5 ML POUDRE POUR SUSPENSION BUVABLE  60 ML BOITE DE 1 FLACON,1,1,1,81592,3400935765970,3400892353838,81592,3576597,3400935765970,9235383,3400892353838
9073amoxicilline 500 mg5 ml arrow pdr pr susp buv flac 60 ml,AMOXICILLINE ARROW  500 MG / 5ML POUDRE POUR SUSPENSION BUVABLE 60 ML  BOITE DE 1 FLACON,1,1,1,81594,3400935765741,3400892354200,81594,3576574,3400935765741,9235420,3400892354200
6477atenolol 100 mg arrow cpr séc,ATENOLOL ARROW  100 MG BOITE DE 30 COMPRIMES PELLICULES SECABLES CONDITIONNEMENT UNITAIRE,1,1,1,81610,3400935742100,3400892344034,81610,3574210,3400935742100,9234403,3400892344034
8672celiprolol 200 mg arrow cpr,CELIPROLOL ARROW 200 MG BOITE DE 84 COMPRIMES PELLICULES CONDITIONNEMENT UNITAIRE,0,1,1,81611,3400935772893,3400892355030,81611,3739711,3400937397117,9235503,3400892355030
281spironolactone altizide 25 mg15 mg arrow cpr séc,SPIRONOLACTONE ALTIZIDE ARROW 25 MG/15 MG BOITE DE 30 COMPRIMES PELLICULES SECABLES,1,1,1,81622,3400935978721,3400892422428,81622,3597872,3400935978721,9242242,3400892422428
105fluoxetine 20 mg5 ml arrow sol buv flac 70 ml,FLUOXETINE ARROW  20 MG/5ML 70 ML SOLUTION BUVABLE BOITE DE 1 FLACON,1,1,1,81646,3400935817181,3400892381572,81646,3581718,3400935817181,9238157,3400892381572
204mianserine 10 mg arrow cpr,MIANSERINE ARROW 10 MG BOITE DE 30 COMPRIMES PELLICULES CONDITIONNEMENT UNITAIRE,1,1,1,81670,3400935834799,3400892375199,81670,3583479,3400935834799,9237519,3400892375199
206mianserine 60 mg arrow cpr séc,MIANSERINE ARROW 60 MG BOITE DE 30 COMPRIMES PELLICULES SECABLES CONDITIONNEMENT UNITAIRE,0,1,1,81672,3400935835161,3400892375311,81672,3583545,3400935835451,9237531,3400892375311
112piracetam 800 mg arrow cpr,PIRACETAM ARROW  800 MG BOITE DE 45 COMPRIMES PELLICULES,1,1,1,81674,3400935962232,3400892436555,81674,3596223,3400935962232,9243655,3400892436555
22852amoxac clav 100 mg125 mgml arrow nour pdr pr susp buv flac 30 ml,"AMOXICILLINE ACIDE CLAVULANIQUE ARROW  100 MG / 12,5 MG  SOLUTION BUVABLE 30 ML  NOURRISSON BOITE DE 1 FLACON",1,1,1,81679,3400935948274,3400892426440,81679,3594827,3400935948274,9242644,3400892426440
4861amoxac clav 100 mg125 mgml arrow enf pdr pr susp buv flac 60 ml,"AMOXICILLINE ACIDE CLAVULANIQUE ARROW 100 MG / 12,5 MG  SOLUTION BUVABLE 60 ML ENFANT BOITE DE 1 FLACON",1,1,1,81860,3400935948335,3400892426389,81860,3594833,3400935948335,9242638,3400892426389
0000110ipratropium 05 mg2 ml arrow ad sol pr inhal par nébu récipient unidose,"IPRATROPIUM ARROW  0,5 MG/2ML  ADULTE SOLUTION POUR INHALATION PAR NEBULISEUR BOITE DE 10 UNIDOSES",1,1,1,82686,3400936578418,3400892484280,82686,3657841,3400936578418,9248428,3400892484280
116terbutaline 5 mg2 ml arrow sol pr inhal par nébu récipient unidose,TERBUTALINE ARROW 5 MG/2 ML SOLUTION  POUR INHALATION PAR NEBULISEUR  BOITE DE    50 UNIDOSES,1,1,1,88027,3400936579019,3400892505893,88027,3657901,3400936579019,9250589,3400892505893
93aciclovir 5 arrow crème tube 10 g,ACICLOVIR ARROW CREME  5 % 10 GRAMMES BOITE DE 1 TUBE,1,1,1,88028,3400936123762,3400892482910,88028,3612376,3400936123762,9248291,3400892482910
11269vit c 1 g arrow cpr efferv,VITAMINE C ARROW 1 GR -  BOITE DE 20 COMPRIMES EFFERVESCENTS,1,1,1,88056,3400934947643,3400892514369,88056,3494764,3400934947643,9251436,3400892514369
8470budesonide 05 mg2 ml arrow susp pr inhal par nébu récipient unidose,"BUDESONIDE ARROW 0,5 MG/2 ML BOITE DE   20 UNIDOSES",1,1,1,89918,3400936240667,3400892567129,89918,3624066,3400936240667,9256712,3400892567129
16561budesonide 1 mg2 ml arrow susp pr inhal par nébu récipient unidose,BUDESONIDE ARROW 1 MG/2 ML BOITE DE   20 UNIDOSES,1,1,1,89919,3400936263260,3400892567297,89919,3626326,3400936263260,9256729,3400892567297
205mianserine 30 mg arrow cpr séc,MIANSERINE SANDOZ  30 MG  BOITE DE 30 COMPRIMES,1,1,1,90283,3400935834911,3400892375250,90283,3661854,3400936618541,9265846,3400892658469
100cimetidine 200 mg arrow cpr efferv,CIMETIDINE ARROW 200 MG COMPRIMES EFFERVESCENTS TUBE DE 60 COMPRIMES,1,1,1,109813,3400934882555,3400892579016,109813,3488255,3400934882555,9257901,3400892579016
0000195doxycycline 100 mg arrow cpr,DOXYCYCLINE ARROW 100 MG  COMPRIMES PELLICULES BOITE DE 30 COMPRIMES,1,1,1,109825,3400936130456,3400892506326,109825,3613068,3400936130685,9250632,3400892506326
4823ofloxacine 200 mg arrow cpr séc,OFLOXACINE ARROW 200 MG BOITE DE 50 COMPRIMES PELLICULES SECABLES CONDITIONNEMENT UNITAIRE,0,1,1,109828,3400936238428,3400892556291,109828,5641235,3400956412358,9255629,3400892556291
339domperidone 10 mg arrow cpr,DOMPERIDONE ARROW 10 MG  BOITE DE 30 COMPRIMES PELLICULES CONDITIONNEMENT UNITAIRE HOSPITALIER,0,1,1,109833,3400936321434,3400892589411,109833,5502123,3400955021230,9258941,3400892589411
471zolpidem 10 mg arrow cpr séc,ZOLPIDEM ARROW 10 MG  BOITE DE 60 COMPRIMES PELLICULES SECABLES CONDITIONNEMENT UNITAIRE,0,1,1,109840,3400936388901,3400892600338,109840,5766161,3400957661618,9260033,3400892600338
5300tamoxifene 20 mg arrow cpr,TAMOXIFENE ARROW 20 MG BOITE DE 30 COMPRIMES,1,1,1,109844,3400936476240,3400892643151,109844,3647624,3400936476240,9264315,3400892643151
14633furosemide 40 mg arrow cpr séc,FUROSEMIDE ARROW 40 MG  COMPRIMES SECABLES BOITE DE 90 COMPRIMES CONDITIONNEMENT UNITAIRE,0,1,1,109845,3400836476760,3400892652085,109845,3739438,3400937394383,9265208,3400892652085
96alprazolam 05 mg arrow cpr séc,"ALPRAZOLAM ARROW 0,50 MG BOITE 60 COMPRIMES SECABLES CONDITIONNEMENT UNITAIRE",0,1,1,136752,3400934563218,3400892737225,136752,5766706,3400957667061,9273722,3400892737225
0000095alprazolam 025 mg arrow cpr séc,"ALPRAZOLAM ARROW 0,25 MG BOITE 60 COMPRIMES SECABLES CONDITIONNEMENT UNITAIRE",0,1,1,136753,3400934563157,3400892737164,136753,5766698,3400957666989,9273716,3400892737164
101ciprofloxacine 500 mg arrow cpr séc,CIPROFLOXACINE ARROW 500 MG BOITE DE 100 COMPRIMES PELLICULES SECABLES CONDITIONNEMENT UNITAIRE,0,1,1,136759,3400936822306,3400892792682,136759,5672632,3400956726325,9279268,3400892792682
333econazole lp 150 mg arrow ovule à libération prolongée,ECONAZOLE ARROW 150 MG LP BOITE DE 1 OVULE,1,1,1,136764,3400936757509,3400892715971,136764,3675750,3400936757509,9271597,3400892715971
14023furosemide 20 mg arrow cpr séc,FUROSEMIDE ARROW 20 MG BOITE DE 90 COMPRIMES SECABLES CONDITIONNEMENT UNITAIRE,0,1,1,136767,3400836654731,3400892673776,136767,3739622,3400937396226,9267377,3400892673776
12221ibuprofene 400 mg arrow cpr,IBUPROFENE ARROW 400 MG BOITE DE 30 COMPRIMES PELLICULES CONDITIONNEMENT UNITAIRE,0,1,1,136772,3400936656161,3400892693996,136772,3665622,3400936656222,9269399,3400892693996
7920ipratropium 025 mg1 ml arrow enf sol pr inhal par nébu récipient unidose,IPRATROPIUM ARROW   0.25MG/1ML ENFANTS SOLUTION POUR INHALATION PAR NEBULISEUR BOITE DE 30 UNIDOSES,1,1,1,136773,3400936715394,3400892814896,136773,3671539,3400936715394,9281489,3400892814896
17490nifedipine lp 30 mg arrow cpr à libération prolongée,NIFEDIPINE ARROW LP 30 BOITE DE 30 COMPRIMES PELLICULES,1,1,1,136777,3400936891661,3400892766140,136777,3689166,3400936891661,9276614,3400892766140
629paroxetine 20 mg arrow cpr séc,PAROXETINE ARROW 20MG BOITE DE 14 COMPRIMES PELLICULES SECABLES CONDITIONNEMENT UNITAIRE,1,1,1,136780,3400936854703,3400892725857,136780,3685470,3400936854703,9272585,3400892725857
23245prednisone 20 mg arrow cpr séc,PREDNISONE ARROW 20 MG BOITE DE 20 COMPRIMES SECABLES CONDITIONNEMENT UNITAIRE,1,1,1,136783,3400936523418,3400892656809,136783,3652341,3400936523418,9265680,3400892656809
13000prednisone 5 mg arrow cpr séc,PREDNISONE ARROW  5 MG BOITE DE 30 COMPRIMES SECABLES CONDITIONNEMENT UNITAIRE,0,1,1,136784,3400836519917,3400892656977,136784,3651991,3400936519916,9265697,3400892656977
11117salbutamol 25 mg25 ml arrow sol pr inhal par nébu récipient unidose,SALBUTAMOL ARROW 2.5MG/2.5ML SOL. POUR INHALATION PAR NEBULISEUR BOITE DE 60 UNIDOSES,0,1,1,136791,3400936579309,3400892695600,136791,3657953,3400936579538,9269560,3400892695600
113salbutamol 5 mg25 ml arrow sol pr inhal par nébu récipient unidose,SALBUTAMOL ARROW 5MG/2.5ML SOL. POUR INHALATION PAR NEBULISEUR BOITE DE 60 UNIDOSES,0,1,1,136792,3400936579996,3400892695778,136792,3658013,3400936580138,9269577,3400892695778
5081fluconazole 10 mgml arrow pdr pr susp buv flac 35 ml,FLUCONAZOLE ARROW  10 MG/ML  35 ML PDRE PR SOL. BUVABLE  BOITE DE 1 FLACON AVEC SERINGUE MESURE 5ML,1,1,1,144518,3400937807609,3400892977119,144518,3780760,3400937807609,9297711,3400892977119
13988amlodipine 10 mg arrow gélule,AMLODIPINE ARROW 10 MG BOITE DE 30 GELULES CONDITIONNEMENT UNITAIRE,1,1,1,152089,3400937831260,3400893019672,152089,3783126,3400937831260,9301967,3400893019672
0000287amlodipine 5 mg arrow gélule,AMLODIPINE ARROW 5 MG  BOITE DE 30 GELULES CONDITIONNEMENT UNITAIRE,1,1,1,152090,3400937831031,3400893019733,152090,3783103,3400937831031,9301973,3400893019733
210phloroglucinol 80 mg arrow cpr orodispersible,PHLOROGLUCINOL ARROW 80 MG BOITE DE 30 COMPRIMES ORO-DISPERSIBLES CONDITIONNEMENT UNITAIRE,0,1,1,160684,3400937860185,3400892991016,160684,3786053,3400937860536,9299101,3400892991016
197econazole 1 arrow sol pr appli cutanée flac 30 g,ECONAZOLE ARROW 1% SOLUTION POUR APPLICATION CUTANEE BOITE DE 1 FLACON DE 30 G,1,1,1,164351,3400938310788,3400893094952,164351,3831078,3400938310788,9309495,3400893094952
198econazole 1 arrow pdr pr appli cutanée flac 30 g,ECONAZOLE ARROW 1 % POUDRE POUR APPLICATION CUTANEE  BOITE DE 1 FLACON DE 30 G,1,1,1,164352,3400938310849,3400893094891,164352,3831084,3400938310849,9309489,3400893094891
196econazole 1 arrow crème tube 30 g,ECONAZOLE ARROW 1% CREME POUR APPLICATION CUTANEE BOITE DE 1 TUBE DE 30 G,1,1,1,164354,3400938311099,3400893094662,164354,3831109,3400938311099,9309466,3400893094662
24399cefuroxime 250 mg arrow cpr,CEFUROXIME ARROW 250 MG BOITE DE 8 COMPRIMES PELLICULES,1,1,1,173290,3400938550382,3400893169346,173290,3855038,3400938550382,9316934,3400893169346
300gabapentine 400 mg arrow generiques gélule,GABAPENTINE ARROW GENERIQUES 400 MG BOITE DE 90 GELULES CONDITIONNEMENT UNITAIRE,1,1,1,173297,3400949924585,3400893758595,173297,4992458,3400949924585,9375859,3400893758595
18360glibenclamide 25 mg arrow cpr séc,"GLIBENCLAMIDE ARROW 2,5 MG BOITE DE 60 COMPRIMES SECABLES CONDITIONNEMENT UNITAIRE",0,1,1,212701,3400838980944,3400893261408,212701,3898094,3400938980943,9326140,3400893261408
23013prednisolone 20 mg arrow cpr orodispersible,PREDNISOLONE ARROW 20 MG BOITE DE 20 COMPRIMES ORODISPERSIBLES,1,1,1,212719,3400939106885,3400893268612,212719,3910688,3400939106885,9326861,3400893268612
17295losartan hct 50 mg125 mg arrow lab cpr,LOSARTAN HYDROCHLOROTHIAZIDE ARROW LAB  50MG/12.5MG BOITE DE 90 COMPRIMES PELLICULES CONDITIONNEMENT UNITAIRE,1,1,1,213489,3400921872217,3400894084587,213489,2187221,3400921872217,9408458,3400894084587
15115losartan hct 100 mg25 mg arrow lab cpr,LOSARTAN HYDROCHLOROTHIAZIDE ARROW LAB 100MG/25MG BOITE DE 90 COMPRIMES PELLICULES CONDITIONNEMENT UNITAIRE,1,1,1,213490,3400921874396,3400894084419,213490,2187439,3400921874396,9408441,3400894084419
298gabapentine 100 mg arrow generiques gélule,GABAPENTINE ARROW GENERIQUES 100 MG BOITE DE 90 GELULES CONDITIONNEMENT UNITAIRE,0,1,1,225134,3400937521666,3400893758366,225134,4992174,3400949921744,9375836,3400893758366
299gabapentine 300 mg arrow generiques gélule,GABAPENTINE ARROW GENERIQUES 300 MG BOITE DE 90 GELULES CONDITIONNEMENT UNITAIRE,0,1,1,225135,3400937523158,3400893758427,225135,4992257,3400949922574,9375842,3400893758427
13964lercanidipine 20 mg arrow cpr séc,LERCANIDIPINE ARROW 20 MG BOITE DE 90 COMPRIMES PELLICULES SECABLES CONDITIONNEMENT UNITAIRE (+ DATAMATRIX),1,1,1,247780,3400931654865,3400893455166,247780,3165486,3400931654865,9345516,3400893455166
803lercanidipine 10 mg arrow cpr séc,LERCANIDIPINE ARROW 10 MG BOITE DE 90 COMPRIMES PELLICULES SECABLES CONDITIONNEMENT UNITAIRE (+ DATAMATRIX),0,1,1,247781,3400931562573,3400893454916,247781,3161198,3400931611981,9345491,3400893454916
16017pantoprazole 40 mg arrow pdr pr sol inj iv,PANTOPRAZOLE ARROW 40 MG POUDRE POUR SOLUTION INJECTABLE IV BOITE DE 5 FLACONS,1,1,1,255147,3400949487189,3400893643303,255147,4948724,3400949487240,9364330,3400893643303
0000754repaglinide 05 mg arrow lab cpr,"REPAGLINIDE ARROW LAB  0,5 MG BOITE DE  90 COMPRIMES CONDITIONNEMENT UNITAIRE",0,1,1,255162,3400939836294,3400894123941,255162,2693326,3400926933265,9412394,3400894123941
3823metformine 500 mg arrow lab cpr,METFORMINE ARROW LAB  500 MG BOITE DE 100 COMPRIMES PELLICULES CONDITIONNEMENT UNITAIRE,1,1,1,255185,3400927968426,3400893372159,255185,2796842,3400927968426,9337215,3400893372159
8917metformine 1 000 mg arrow lab cpr séc,METFORMINE ARROW LAB 1000 MG BOITE DE 50 COMPRIMES PELLICULES SECABLES CONDITIONNEMENT UNITAIRE,0,1,1,255192,3400939245553,3400893372098,255192,2797451,3400927974519,9337209,3400893372098
9309amoxicilline 1 g arrow cpr dispersible,AMOXICILLINE ARROW LAB 1 GR BOITE DE 30 COMPRIMES PELLICULES DISPERSIBLES CONDITIONNEMENT UNITAIRE,1,1,1,255245,3400935979780,3400892434773,255245,3013734,3400930137345,9440261,3400894402619
104fluoxetine 20 mg arrow cpr dispersible séc,FLUOXETINE ARROW 20 MG BOITE DE 70 COMPRIMES DISPERSIBLES SECABLES CONDITIONNEMENT UNITAIRE (+ DATAMATRIX),1,1,1,255256,3400938069044,3400893048948,255256,5710953,3400957109530,9304894,3400893048948
22913levofloxacine 250 mg50 ml arrow sol pr perf poche,LEVOFLOXACINE ARROW 5 MG/ML  250MG/50 ML INJECTABLE SOLUTION POUR PERFUSION BOITE DE 10 POCHES,1,1,1,267297,3400958158827,3400893809907,267297,5815882,3400958158827,9380990,3400893809907
18680octreotide 100 ug1 ml arrow sol inj amp,OCTREOTIDE ARROW  100 µG/ 1 ML SOLUTION INJECTABLE BOITE DE 10 AMPOULES VERRE,1,1,1,267358,3400921750638,3400893804933,267358,2175063,3400921750638,9380493,3400893804933
17745octreotide 500 ug1 ml arrow sol inj amp,OCTREOTIDE ARROW  500 µG/ 1 ML SOLUTION INJECTABLE BOITE DE 6 AMPOULES VERRE,0,1,1,267360,3400921750119,3400893804872,267360,2175005,3400921750058,9380487,3400893804872
16754ketoprofene lp 100 mg arrow cpr séc à libération prolongée,KETOPROFENE ARROW LP 100 MG BOITE DE 20 COMPRIMES SECABLES (+ DATAMATRIX) CONDITIONNEMENT UNITAIRE,0,1,1,274410,3400822143140,3400893945612,274410,2214314,3400922143149,9394561,3400893945612
13837irbesartan 75 mg arrow cpr,IRBESARTAN ARROW 75 MG BOITE DE 90 COMPRIMES CONDITIONNEMENT UNITAIRE,0,1,1,285710,-,3400894116967,285710,2744035,3400927440359,9411696,3400894116967
18228irbesartan 150 mg arrow cpr,IRBESARTAN ARROW 150 MG BOITE DE 90 COMPRIMES CONDITIONNEMENT UNITAIRE,0,1,1,285711,-,3400894116677,285711,2744064,3400927440649,9411667,3400894116677
12576irbesartan 300 mg arrow cpr,IRBESARTAN ARROW 300 MG BOITE DE 90 COMPRIMES CONDITIONNEMENT UNITAIRE,0,1,1,285712,-,3400894116738,285712,2744093,3400927440939,9411673,3400894116738
17952valsartan 160 mg arrow lab cpr séc,VALSARTAN ARROW LAB 160 MG BOITE DE 90 COMPRIMES PELLICULES SECABLES CONDITIONNEMENT UNITAIRE,1,1,1,285713,3400930007730,3400894081166,285713,3000773,3400930007730,9408116,3400894081166
